armas_medios,cantidad,departamento,municipio,genero,grupo_etario
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),MASCULINO,ADULTOS
ARMA BLANCA,1,HUILA,NEIVA (CT),FEMENINO,ADULTOS
ARMA BLANCA,2,ATLANTICO,BARRANQUILLA (CT),MASCULINO,ADULTOS
ARMA BLANCA,1,ANTIOQUIA,MEDELLÍN (CT),FEMENINO,ADULTOS
SIN EMPLEO DE ARMAS,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,CESAR,VALLEDUPAR (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,CASANARE,YOPAL (CT),FEMENINO,ADULTOS
DESCONOCIDA,1,TOLIMA,IBAGUÉ (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,ATLANTICO,BARRANQUILLA (CT),FEMENINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),MASCULINO,ADULTOS
ARMA BLANCA,1,BOLIVAR,CARTAGENA (CT),FEMENINO,ADULTOS
DESCONOCIDA,1,NORTE DE SANTANDER,CÚCUTA (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,SANTANDER,BUCARAMANGA (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,MAGDALENA,SANTA MARTA (CT),FEMENINO,ADULTOS
DESCONOCIDA,1,CUNDINAMARCA,SOACHA,FEMENINO,ADULTOS
ARMA BLANCA,1,ANTIOQUIA,SAN PEDRO,FEMENINO,ADULTOS
ARMA BLANCA,1,RISARALDA,PEREIRA (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,NORTE DE SANTANDER,CÚCUTA (CT),MASCULINO,ADULTOS
SIN EMPLEO DE ARMAS,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
DESCONOCIDA,1,CUNDINAMARCA,MOSQUERA,FEMENINO,ADULTOS
ARMA BLANCA,1,VALLE DEL CAUCA,CALI (CT),FEMENINO,ADULTOS
ARMA BLANCA,2,BOLIVAR,CARTAGENA (CT),FEMENINO,ADULTOS
SIN EMPLEO DE ARMAS,1,CUNDINAMARCA,GIRARDOT,FEMENINO,ADULTOS
ARMA BLANCA,1,HUILA,TIMANÁ,FEMENINO,ADULTOS
SIN EMPLEO DE ARMAS,1,NARIÑO,IPIALES,FEMENINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,CALDAS,MANIZALES (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,VALLE DEL CAUCA,PALMIRA,FEMENINO,ADULTOS
ARMA BLANCA,1,QUINDIO,SALENTO,FEMENINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,SANTANDER,GIRÓN,FEMENINO,ADULTOS
ARMA BLANCA,1,SANTANDER,BUCARAMANGA (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
ARMA BLANCA,5,BOLIVAR,CARTAGENA (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,BOLIVAR,CARTAGENA (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,ANTIOQUIA,MEDELLÍN (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,META,VILLAVICENCIO (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,META,VILLAVICENCIO (CT),FEMENINO,ADULTOS
DESCONOCIDA,1,CUNDINAMARCA,MADRID,FEMENINO,ADULTOS
ARMA BLANCA,1,VALLE DEL CAUCA,SEVILLA,MASCULINO,ADULTOS
SIN EMPLEO DE ARMAS,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
ARMA BLANCA,2,BOLIVAR,CARTAGENA (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),MASCULINO,ADULTOS
ARMA BLANCA,2,VALLE DEL CAUCA,CALI (CT),MASCULINO,ADULTOS
ARMA BLANCA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
SIN EMPLEO DE ARMAS,1,VALLE DEL CAUCA,CALI (CT),FEMENINO,ADULTOS
SIN EMPLEO DE ARMAS,1,VALLE DEL CAUCA,CALI (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,VALLE DEL CAUCA,CALI (CT),FEMENINO,ADULTOS
DESCONOCIDA,2,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),MASCULINO,ADULTOS
ARMA BLANCA,1,SANTANDER,PIEDECUESTA,FEMENINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
DESCONOCIDA,1,CUNDINAMARCA,FUSAGASUGÁ,FEMENINO,ADULTOS
ARMA BLANCA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,ANTIOQUIA,MEDELLÍN (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,VALLE DEL CAUCA,CALI (CT),FEMENINO,MENORES
DESCONOCIDA,1,MAGDALENA,SANTA MARTA (CT),FEMENINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),MASCULINO,ADULTOS
ARMA BLANCA,1,BOLIVAR,EL CARMEN DE BOLÍVAR,FEMENINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,TOLIMA,IBAGUÉ (CT),FEMENINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,CAUCA,POPAYÁN (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,VALLE DEL CAUCA,CALI (CT),FEMENINO,ADULTOS
SIN EMPLEO DE ARMAS,2,VALLE DEL CAUCA,ROLDANILLO,FEMENINO,ADULTOS
ARMA BLANCA,1,META,VILLAVICENCIO (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,ANTIOQUIA,MEDELLÍN (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,SUCRE,SINCELEJO (CT),FEMENINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,ANTIOQUIA,MEDELLÍN (CT),FEMENINO,ADULTOS
SIN EMPLEO DE ARMAS,1,TOLIMA,IBAGUÉ (CT),FEMENINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
SIN EMPLEO DE ARMAS,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,CALDAS,MANIZALES (CT),FEMENINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,ANTIOQUIA,MEDELLÍN (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,META,VILLAVICENCIO (CT),FEMENINO,ADULTOS
DESCONOCIDA,2,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),MASCULINO,ADULTOS
ARMA BLANCA,1,ANTIOQUIA,BELLO,FEMENINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),MASCULINO,MENORES
ARMA BLANCA,1,ANTIOQUIA,MEDELLÍN (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,CAUCA,PIENDAMÓ,FEMENINO,ADULTOS
DESCONOCIDA,1,CUNDINAMARCA,SOACHA,FEMENINO,ADULTOS
SIN EMPLEO DE ARMAS,1,ANTIOQUIA,CALDAS,FEMENINO,ADULTOS
ARMA BLANCA,1,ANTIOQUIA,MEDELLÍN (CT),FEMENINO,ADULTOS
SIN EMPLEO DE ARMAS,1,ANTIOQUIA,MEDELLÍN (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,BOLIVAR,CARTAGENA (CT),FEMENINO,ADULTOS
SIN EMPLEO DE ARMAS,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),MASCULINO,ADULTOS
ARMA BLANCA,1,MAGDALENA,SANTA MARTA (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,BOLIVAR,CARTAGENA (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,QUINDIO,ARMENIA (CT),MASCULINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),MASCULINO,ADULTOS
ARMA BLANCA,1,HUILA,NEIVA (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,CUNDINAMARCA,GIRARDOT,FEMENINO,ADULTOS
ARMA BLANCA,1,VALLE DEL CAUCA,GUADALAJARA DE BUGA,FEMENINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
SIN EMPLEO DE ARMAS,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,ANTIOQUIA,MEDELLÍN (CT),MASCULINO,ADULTOS
ARMA BLANCA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),MASCULINO,ADULTOS
DESCONOCIDA,1,BOYACA,PUERTO BOYACÁ,FEMENINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,HUILA,NEIVA (CT),FEMENINO,ADULTOS
DESCONOCIDA,1,CUNDINAMARCA,SOACHA,MASCULINO,ADULTOS
ARMA BLANCA,1,ANTIOQUIA,MEDELLÍN (CT),FEMENINO,ADULTOS
DESCONOCIDA,3,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
SIN EMPLEO DE ARMAS,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,MENORES
ARMA BLANCA,1,ANTIOQUIA,MEDELLÍN (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,CUNDINAMARCA,MOSQUERA,FEMENINO,ADULTOS
ARMA BLANCA,1,VALLE DEL CAUCA,BUENAVENTURA,FEMENINO,ADULTOS
ARMA BLANCA,1,META,VILLAVICENCIO (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,HUILA,NEIVA (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,MAGDALENA,SANTA MARTA (CT),FEMENINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
SIN EMPLEO DE ARMAS,1,ANTIOQUIA,MEDELLÍN (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,CUNDINAMARCA,SOACHA,FEMENINO,ADULTOS
ARMA BLANCA,1,ANTIOQUIA,MEDELLÍN (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,CALDAS,LA DORADA,FEMENINO,ADULTOS
ARMA BLANCA,1,ANTIOQUIA,MEDELLÍN (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,ANTIOQUIA,MEDELLÍN (CT),FEMENINO,ADULTOS
ARMA BLANCA,6,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,ANTIOQUIA,MEDELLÍN (CT),FEMENINO,ADULTOS
SIN EMPLEO DE ARMAS,1,CUNDINAMARCA,FACATATIVÁ,FEMENINO,ADULTOS
DESCONOCIDA,1,MAGDALENA,SANTA MARTA (CT),FEMENINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),MASCULINO,ADULTOS
SIN EMPLEO DE ARMAS,2,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,ANTIOQUIA,MEDELLÍN (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,MAGDALENA,SANTA MARTA (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,VALLE DEL CAUCA,CALI (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,HUILA,NEIVA (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),MASCULINO,ADULTOS
ARMA BLANCA,1,ANTIOQUIA,MEDELLÍN (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,ANTIOQUIA,MEDELLÍN (CT),MASCULINO,ADULTOS
ARMA BLANCA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,ANTIOQUIA,MEDELLÍN (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,RISARALDA,PEREIRA (CT),FEMENINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
ARMA BLANCA,12,ANTIOQUIA,MEDELLÍN (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,BOYACA,SOATÁ,FEMENINO,ADULTOS
ARMA BLANCA,1,HUILA,NEIVA (CT),FEMENINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),MASCULINO,MENORES
DESCONOCIDA,3,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
DESCONOCIDA,2,TOLIMA,CHAPARRAL,FEMENINO,ADULTOS
SIN EMPLEO DE ARMAS,1,BOYACA,TUNJA (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,ANTIOQUIA,MEDELLÍN (CT),FEMENINO,ADULTOS
SIN EMPLEO DE ARMAS,1,TOLIMA,IBAGUÉ (CT),FEMENINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),MASCULINO,ADULTOS
DESCONOCIDA,1,ATLANTICO,BARRANQUILLA (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,VALLE DEL CAUCA,CALI (CT),FEMENINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),MASCULINO,ADULTOS
DESCONOCIDA,1,CUNDINAMARCA,SOACHA,FEMENINO,ADULTOS
ARMA BLANCA,1,NORTE DE SANTANDER,CÚCUTA (CT),FEMENINO,ADULTOS
SIN EMPLEO DE ARMAS,1,VALLE DEL CAUCA,CALI (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,VALLE DEL CAUCA,CALI (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,BOYACA,TUNJA (CT),FEMENINO,ADULTOS
SIN EMPLEO DE ARMAS,1,BOYACA,TUNJA (CT),FEMENINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,VALLE DEL CAUCA,CALI (CT),MASCULINO,ADULTOS
ARMA BLANCA,1,CAUCA,POPAYÁN (CT),MASCULINO,ADULTOS
ARMA BLANCA,1,ANTIOQUIA,MEDELLÍN (CT),MASCULINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
DESCONOCIDA,1,CESAR,VALLEDUPAR (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,CORDOBA,MONTERÍA (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,SANTANDER,PIEDECUESTA,FEMENINO,ADULTOS
SIN EMPLEO DE ARMAS,1,ANTIOQUIA,MEDELLÍN (CT),FEMENINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
SIN EMPLEO DE ARMAS,1,TOLIMA,IBAGUÉ (CT),FEMENINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),MASCULINO,ADULTOS
ARMA BLANCA,1,META,VILLAVICENCIO (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,NARIÑO,PASTO (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,HUILA,NEIVA (CT),FEMENINO,ADULTOS
ARMA BLANCA,13,ANTIOQUIA,MEDELLÍN (CT),FEMENINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,CAUCA,POPAYÁN (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,BOYACA,CHIQUINQUIRÁ,FEMENINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,ANTIOQUIA,BELLO,FEMENINO,ADULTOS
ARMA BLANCA,1,VALLE DEL CAUCA,CALI (CT),FEMENINO,MENORES
ARMA BLANCA,1,RISARALDA,DOSQUEBRADAS,FEMENINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),MASCULINO,MENORES
ARMA BLANCA,1,SANTANDER,BUCARAMANGA (CT),FEMENINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),MASCULINO,ADULTOS
ARMA BLANCA,1,HUILA,NEIVA (CT),FEMENINO,ADULTOS
SIN EMPLEO DE ARMAS,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,SANTANDER,BUCARAMANGA (CT),FEMENINO,ADULTOS
ARMA BLANCA,3,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),MASCULINO,MENORES
ARMA BLANCA,1,META,VILLAVICENCIO (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,VALLE DEL CAUCA,CALI (CT),MASCULINO,MENORES
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,MENORES
SIN EMPLEO DE ARMAS,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
SIN EMPLEO DE ARMAS,1,CUNDINAMARCA,SOACHA,MASCULINO,ADULTOS
ARMA BLANCA,1,ANTIOQUIA,BELLO,FEMENINO,ADULTOS
SIN EMPLEO DE ARMAS,1,ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,SAN ANDRÉS (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,ANTIOQUIA,SABANETA,FEMENINO,ADULTOS
ARMA BLANCA,1,BOLIVAR,CARTAGENA (CT),FEMENINO,ADULTOS
SIN EMPLEO DE ARMAS,1,VALLE DEL CAUCA,BUENAVENTURA,FEMENINO,ADULTOS
DESCONOCIDA,1,MAGDALENA,SANTA MARTA (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,VALLE DEL CAUCA,CALI (CT),FEMENINO,ADULTOS
DESCONOCIDA,1,CUNDINAMARCA,SOACHA,FEMENINO,ADULTOS
SIN EMPLEO DE ARMAS,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,ATLANTICO,SOLEDAD,FEMENINO,ADULTOS
SIN EMPLEO DE ARMAS,1,NARIÑO,PASTO (CT),FEMENINO,ADULTOS
SIN EMPLEO DE ARMAS,1,CUNDINAMARCA,SOACHA,FEMENINO,ADULTOS
ARMA BLANCA,1,NORTE DE SANTANDER,CÚCUTA (CT),FEMENINO,ADULTOS
DESCONOCIDA,1,CUNDINAMARCA,SOACHA,FEMENINO,ADULTOS
ARMA BLANCA,1,ANTIOQUIA,MEDELLÍN (CT),MASCULINO,ADULTOS
DESCONOCIDA,1,NORTE DE SANTANDER,CÚCUTA (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,MAGDALENA,SANTA MARTA (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,ANTIOQUIA,MEDELLÍN (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,BOLIVAR,CARTAGENA (CT),MASCULINO,ADULTOS
ARMA BLANCA,1,TOLIMA,IBAGUÉ (CT),FEMENINO,ADULTOS
DESCONOCIDA,1,NORTE DE SANTANDER,CÚCUTA (CT),FEMENINO,ADULTOS
DESCONOCIDA,1,SANTANDER,BARRANCABERMEJA,FEMENINO,ADULTOS
DESCONOCIDA,1,TOLIMA,IBAGUÉ (CT),FEMENINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
DESCONOCIDA,1,ATLANTICO,BARRANQUILLA (CT),FEMENINO,ADULTOS
SIN EMPLEO DE ARMAS,1,MAGDALENA,SANTA MARTA (CT),FEMENINO,ADULTOS
SIN EMPLEO DE ARMAS,1,CAUCA,CORINTO,FEMENINO,ADULTOS
ARMA BLANCA,1,ANTIOQUIA,ENVIGADO,FEMENINO,ADULTOS
ARMA BLANCA,1,VALLE DEL CAUCA,CALI (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,CAUCA,SANTANDER DE QUILICHAO,FEMENINO,ADULTOS
SIN EMPLEO DE ARMAS,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
SIN EMPLEO DE ARMAS,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,HUILA,NEIVA (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,ANTIOQUIA,MEDELLÍN (CT),MASCULINO,ADULTOS
SIN EMPLEO DE ARMAS,1,ANTIOQUIA,MEDELLÍN (CT),FEMENINO,ADULTOS
ARMA BLANCA,5,ANTIOQUIA,MEDELLÍN (CT),MASCULINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),MASCULINO,MENORES
ARMA BLANCA,1,CAUCA,POPAYÁN (CT),FEMENINO,ADULTOS
SIN EMPLEO DE ARMAS,1,ANTIOQUIA,ITAGUI,FEMENINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),MASCULINO,ADOLESCENTES
ARMA BLANCA,2,CAUCA,POPAYÁN (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,CAUCA,POPAYÁN (CT),MASCULINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),MASCULINO,ADULTOS
SIN EMPLEO DE ARMAS,1,BOYACA,TUNJA (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,CORDOBA,MONTERÍA (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,ANTIOQUIA,MEDELLÍN (CT),FEMENINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
SIN EMPLEO DE ARMAS,1,VALLE DEL CAUCA,CALI (CT),MASCULINO,ADULTOS
ARMA BLANCA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
ARMA BLANCA,6,MAGDALENA,SANTA MARTA (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,VALLE DEL CAUCA,GUADALAJARA DE BUGA,FEMENINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,CAUCA,SUÁREZ,FEMENINO,ADULTOS
ARMA BLANCA,1,BOYACA,TUNJA (CT),FEMENINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,ANTIOQUIA,ITAGUI,FEMENINO,ADULTOS
ARMA BLANCA,4,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
DESCONOCIDA,1,BOLIVAR,CARTAGENA (CT),FEMENINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,HUILA,NEIVA (CT),FEMENINO,MENORES
ARMA BLANCA,1,VALLE DEL CAUCA,CALI (CT),MASCULINO,ADULTOS
ARMA BLANCA,1,CORDOBA,MONTERÍA (CT),FEMENINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,ANTIOQUIA,MEDELLÍN (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,CAUCA,POPAYÁN (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
DESCONOCIDA,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
SIN EMPLEO DE ARMAS,1,SANTAFE DE BOGOTA D.C,BOGOTÁ D.C. (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,SUCRE,SINCELEJO (CT),FEMENINO,ADULTOS
ARMA BLANCA,1,BOLIVAR,CARTAGENA (CT),FEMENINO,ADULTOS
